1;SELASA;12.00 WIT;DOA PUASA;GEREJA
2;"~ "" ~";17.30 WIT;IBADAH SEKTOR JOYFULL & RAJAWALI;RUMAH JEMAAT
3;RABU;17.30 WIT;IBADAH SEKTOR DEBORA SION;RUMAH JEMAAT
4;"~ "" ~";18.00 WIT;IBADAH SEKTOR IMANUEL, VICTORY & CALVARI;RUMAH JEMAAT
5;KAMIS;17.00 WIT;IBADAH WANITA BETHEL INDONESIA;GEREJA
6;"~ "" ~";19.00 WIT;IBADAH YOUTH GRACE MINISTRY;GEREJA
7;JUMAT;18.00 WIT;IBADAH PRIA SEJATI & IBADAH SEKTOR NUSANIWE;GEREJA & RUMAH JEMAAT
8;SABTU;17.00 WIT;DOA PERSIAPAN PELAYAN;GEREJA
9;"~ "" ~";19.00 WIT;LATIHAN TIM MUSIK;GEREJA
10;MINGGU;09.00 WIT;IBADAH RAYA & SEKOLAH MINGGU;GEREJA
